Dấu thời gian,"1. Trong tuần đầu của khoá học, bạn thường gặp khó khăn khi tìm thông tin nào trên Discord? ","2. Khi cần tìm một thông tin của khoá học trên Discord, bạn thường làm gì đầu tiên? ",3. Bạn thường mất bao lâu để tìm được câu trả lời mình cần trên Discord? ," 4. Trong tuần đầu, bạn đã từng hỏi một câu trên Discord rồi sau đó phát hiện câu hỏi đó đã được người khác hỏi hoặc trả lời trước đó chưa?  ",  5. Bạn đã từng gặp trường hợp gửi câu hỏi nhưng không nhận được câu trả lời hoặc phải chờ rất lâu chưa?  ,  6. Bạn đã sử dụng bot “Trợ lý” trên Discord chưa?  ,  8. Bạn từng gặp vấn đề nào sau đây với câu trả lời của bot?  ,"  9. Khi bot không chắc chắn về câu trả lời, bạn muốn bot xử lý như thế nào?  "," 10. Nếu chỉ được cải thiện một điều ở Trợ lý Discord, điều gì sẽ giúp bạn nhiều nhất?  "
17/09/2026 18:35:18,Deadline / lịch nộp bài,Tìm lại bằng Discord Search,Có lúc tôi không tìm được,Không nhớ,Rất thường xuyên,Tôi không biết có bot này,"Trả lời quá dài, Không trả lời được câu hỏi",Tag TA/Mod ngay trong thread,Tự phát hiện câu hỏi đã được hỏi trước đó
17/09/2026 18:36:32,"Deadline / lịch nộp bài, Standup, Tạo hoặc tham gia team",Xem pinned message / announcement,Trên 10 phút,2–3 lần,Thỉnh thoảng,Chưa từng dùng,"Trả lời quá dài, Trả lời nhưng tôi vẫn phải hỏi TA, Không biết câu trả lời lấy từ đâu",Tag TA/Mod ngay trong thread,"Tìm lại thông tin cũ nhanh hơn, Tóm tắt các câu hỏi quan trọng trong ngày"
17/09/2026 18:36:49,Deadline / lịch nộp bài,Tìm lại bằng Discord Search,1–3 phút,Chưa bao giờ,Chưa bao giờ,Chưa từng dùng,Tôi chưa gặp vấn đề nào,Không trả lời,Trả lời chính xác hơn và kèm nguồn
17/09/2026 18:37:29,"Standup, Ticket / hỗ trợ, Tôi hầu như không gặp khó khăn",Xem pinned message / announcement,5–10 phút,Chưa bao giờ,Thỉnh thoảng,"Có, một vài lần","Trả lời nhưng tôi vẫn phải hỏi TA, Không trả lời được câu hỏi",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Tìm lại thông tin cũ nhanh hơn, Tự phát hiện câu hỏi đã được hỏi trước đó"
17/09/2026 18:39:13,"Deadline / lịch nộp bài, Điểm danh, Standup, XP / điểm thưởng, Ticket / hỗ trợ, Tạo hoặc tham gia team, Link tài liệu / hướng dẫn, Quy định của khoá, Khác: _______, Tôi hầu như không gặp khó khăn",Tìm lại bằng Discord Search,3–5 phút,2–3 lần,Hiếm khi,"Có, nhưng chỉ thử","Trả lời không đúng câu hỏi, Thông tin không chính xác / đã cũ, Trả lời quá dài, Không hiểu ngữ cảnh câu hỏi, Đưa nhiều thông tin không liên quan, Trả lời nhưng tôi vẫn phải hỏi TA, Không trả lời được câu hỏi, Không biết câu trả lời lấy từ đâu, Tôi chưa gặp vấn đề nào",Chuyển / đánh dấu câu hỏi cho TA/Mod,"Trả lời chính xác hơn và kèm nguồn, Tìm lại thông tin cũ nhanh hơn, Tự chuyển câu hỏi khó cho TA/Mod, Tóm tắt các câu hỏi quan trọng trong ngày"
17/09/2026 18:39:40,"Deadline / lịch nộp bài, Điểm danh, Standup, Ticket / hỗ trợ, Link tài liệu / hướng dẫn, Quy định của khoá",Tìm lại bằng Discord Search,Có lúc tôi không tìm được,Không nhớ,Hiếm khi,"Có, một vài lần","Không hiểu ngữ cảnh câu hỏi, Đưa nhiều thông tin không liên quan, Trả lời nhưng tôi vẫn phải hỏi TA",Tag TA/Mod ngay trong thread,"Trả lời chính xác hơn và kèm nguồn, Tìm lại thông tin cũ nhanh hơn, Tự phát hiện câu hỏi đã được hỏi trước đó, Tóm tắt các câu hỏi quan trọng trong ngày"
17/09/2026 18:39:43,"Ticket / hỗ trợ, Tạo hoặc tham gia team, Link tài liệu / hướng dẫn, Quy định của khoá",Xem pinned message / announcement,1–3 phút,1 lần,Chưa bao giờ,"Có, thường xuyên","Không hiểu ngữ cảnh câu hỏi, Trả lời nhưng tôi vẫn phải hỏi TA, Không biết câu trả lời lấy từ đâu",Tag TA/Mod ngay trong thread,"Trả lời chính xác hơn và kèm nguồn, Tự chuyển câu hỏi khó cho TA/Mod, Tóm tắt các câu hỏi quan trọng trong ngày, Cá nhân hoá thông tin theo học viên"
17/09/2026 18:39:58,"Deadline / lịch nộp bài, Standup, Quy định của khoá",Hỏi bạn cùng lớp,Trên 10 phút,2–3 lần,Chưa bao giờ,"Có, thường xuyên","Không hiểu ngữ cảnh câu hỏi, Không trả lời được câu hỏi",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Trả lời chính xác hơn và kèm nguồn, Tìm lại thông tin cũ nhanh hơn, Tự phát hiện câu hỏi đã được hỏi trước đó"
17/09/2026 18:40:12,"Deadline / lịch nộp bài, XP / điểm thưởng, Link tài liệu / hướng dẫn",Tìm lại bằng Discord Search,5–10 phút,Chưa bao giờ,Hiếm khi,"Có, một vài lần","Trả lời không đúng câu hỏi, Không hiểu ngữ cảnh câu hỏi",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,Trả lời chính xác hơn và kèm nguồn
17/09/2026 18:40:40,"Deadline / lịch nộp bài, Standup, Link tài liệu / hướng dẫn",Tìm lại bằng Discord Search,3–5 phút,Chưa bao giờ,Hiếm khi,"Có, thường xuyên","Trả lời không đúng câu hỏi, Thông tin không chính xác / đã cũ, Đưa nhiều thông tin không liên quan",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Trả lời chính xác hơn và kèm nguồn, Tìm lại thông tin cũ nhanh hơn, Tự phát hiện câu hỏi đã được hỏi trước đó, Tự chuyển câu hỏi khó cho TA/Mod"
17/09/2026 18:42:13,Deadline / lịch nộp bài,Hỏi bot Trợ lý,1–3 phút,1 lần,Hiếm khi,"Có, một vài lần","Trả lời quá dài, Đưa nhiều thông tin không liên quan",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Trả lời chính xác hơn và kèm nguồn, Tự chuyển câu hỏi khó cho TA/Mod, Cá nhân hoá thông tin theo học viên"
17/09/2026 18:42:14,Deadline / lịch nộp bài,Hỏi bot Trợ lý,1–3 phút,2–3 lần,Hiếm khi,"Có, nhưng chỉ thử","Không hiểu ngữ cảnh câu hỏi, Đưa nhiều thông tin không liên quan, Trả lời nhưng tôi vẫn phải hỏi TA",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Trả lời chính xác hơn và kèm nguồn, Tự chuyển câu hỏi khó cho TA/Mod"
17/09/2026 18:42:16,Link tài liệu / hướng dẫn,Hỏi bot Trợ lý,1–3 phút,2–3 lần,Thỉnh thoảng,"Có, nhưng chỉ thử","Thông tin không chính xác / đã cũ, Trả lời quá dài",Nói rõ rằng bot không chắc chắn và đưa nguồn để tôi tự kiểm tra,"Trả lời chính xác hơn và kèm nguồn, Tự chuyển câu hỏi khó cho TA/Mod"
17/09/2026 18:51:59,"Deadline / lịch nộp bài, Link tài liệu / hướng dẫn, Quy định của khoá",Xem pinned message / announcement,5–10 phút,Trên 5 lần,Thỉnh thoảng,"Có, một vài lần","Câu trả lời ko có ích, toàn tag mod, mod ko trả lời",Tag TA/Mod ngay trong thread,"Tìm lại thông tin cũ nhanh hơn, Tự chuyển câu hỏi khó cho TA/Mod, Nhắc deadline / sự kiện quan trọng, Tóm tắt các câu hỏi quan trọng trong ngày, Cá nhân hoá thông tin theo học viên"
